"botanical_id","species","author","synonyms","english_name","description","flowering_period","habit","distribution","uses"
"279","101","Tulasne","Antidesma gymnogyne Pax & K. Hoffm., Antidesma spa","","A large shrub or small tree, up to 10 m tall. Leaves oblong to obovate, 7-l5 Ã— 2.5-5.5 cm, chartaceous, acuminate at the apex, acute to obtuse or rounded at the base, glabrous except along the midrib adaxially, ferrugineous-pubescent abaxially, major veins impressed adaxially, drying reddish-brown, petioles 2-6 mm long, densely pubescent, stipules caducous, linear, 3.2-6.5 Ã— 0.5-1.0 mm, pubescent. Male inflorescence 4-7 cm long, axillary, branched racemes, bracts lanceolate, 0.3-0.8 Ã— 0.3-0.5 mm, pubescent. Male flowers: sessile, calyx tube 0.4-0.8 mm long, cup or bowl-shaped, sepals 3-5, almost free to fused for half of their length, irregularly shaped, pilose to pubescent on both sides, disc lobed, lobes often filling the space between filaments and pistillode and thus appearing cushion-shaped, slightly constricted at the base, glabrous, stamens 3, rarely 4, 1-2 mm long, anthers 0.2-0.3 Ã— 0.3-0.4 mm, pistillode clavate, 0.4-0.5 Ã— 0.2-0.3 mm, pubescent. Female inflorescence 2-4 cm long, axillary, more rarely cauline, branched, consisting of up to 7 racemes, axis ferrugineous-pubescent to pilose, bracts lanceolate, 0.5-1.0 Ã— 0.3-0.5 mm, pubescent. Female flowers: pedicels 0.3-0.5 mm long, calyx tube 0.7-1.0 mm long, pitcher-shaped, sepals 3-5, fused for half of their length, apically truncate to acute, pilose to pubescent on both sides, disc much shorter than the sepals, glabrous, ovary sub-cylindrical, pilose to glabrous, more rarely pubescent, style terminal, stigmas 4-8. Fruits ellipsoid, laterally compressed, 4-5 Ã— 2.5-3.0 mm, basally symmetrical, with a terminal to slightly subterminal style, pilose to almost glabrous. ","April-September.","Evergreen, deciduous or mixed forests, bamboo fore","Chittagong","Wood is used as fuel."
"280","106","Hook.f.","","","A small to medium-sized tree, up to    20 m high, mainly glabrous, branches whitish to greyish. Leaves simple, ovate to elliptic, 6-25 Ã— 2.0-9.5 cm, chartaceous, drying above and beneath yellow to light greenish, acuminate to cuspidate at the apex, rounded to acute at the base, basal glands distinct, blackish, margin subentire, marginal glands rare, disk-like glands few, within marginal arches, venation distinct on both sides, lateral nerves 8-12 on either half, petioles 0.7-3.5 cm long, reniform, pulvini distinct, stipules triangular, 4-5 Ã— 2-3 mm, caducous. Inflorescence axillary. Staminate inflorescence 2-7 together, 10.0-18.5 Ã— 1.5-2.0 mm, hairy, peduncle absent, bracts triangular, 0.6-1.0 mm long, glomerules indistinct, with 8-10 densely set flowers, continuously spaced along rachis. Staminate flowers 0.6-1.0 mm long, scented, sessile, sepals 4, obovate, 1.0-1.5 mm long, free, light yellow, petals absent, stamens 2, 0.5-0.8 mm long, not exserted, light yellow, anthers 0.2-0.3 mm long, pistillode absent. Pistillate inflorescence 1-3 together, 2-4 mm long, tomentose, flowers up to 5, densely set along rachis. Pistillate flowers 1.8-2.5 mm long, pedicels minute, sericeous, sepals 4 or 5, ovate to elliptic, patent, 0.7-1.2 mm long, petals absent, ovary 2-celled, glabrous, style absent, stigma 0.4-0.5 mm long, bifid to near the base. Fruits globose, 8-11 Ã— 8-11 mm, maroon-red, not beaked, drying brownish to black, glabrous, not fleshy. Seeds c 7 mm in diameter, orange.","October-February","Primary evergreen, mixed deciduous, secondary and ","Chittagong and Sylhet.","Acrid fruits are eaten raw. Wood is used for makin"
"281","107","(Roxb.) Muell.-Arg.","Aporosa dioica Roxb., Aporosa roxburghii Baill.","Common Aporosa","An evergreen small tree, bark greyish-brown, almost glabrous, reticulately fissured. Leaves 8-16 Ã— 2-7 cm, thinly coriaceous, elliptic or elliptic-oblong, shortly acuminate or apiculate, base rounded or cuneate, with 2 glands at junction with petiole, rarely obtuse, entire, sinutely toothed, glabrous, sometimes hairy on the veins beneath, lateral veins 5-8 on either half. Male flowers: in spikes, 1-4 per axil, up to 4 cm long, bracts broad, rounded, ciliate, c 2 mm long, sepals thick, triangular, 2 mm long. Female flowers: ovary 2.5-3.0 mm long, pubescent. Fruits ovoid-oblong, with a peak at the end, almost glabrous or sparsely hairy.","December-April","Evergreen forests.","Sylhet","The plants are used for dyeing clothes and yarn. F"
"282","108","(Tulasne) Muell.-Arg.","Scepa microstachya Tulasne, Aporosa tulasneana Bai","Maingays Tree","A large shrub or small tree, up to 11 m tall, sparsely tomentose. Leaves simple, alternate, ovate to elliptic, 6-12 Ã— 2.0-3.5 cm, papery, drying bluish, greyish-green above, brownish below, cuspidate to caudate at the apex, cuneate at the base, basal glands absent, margin undulate to crenulate, marginal glands regular, small, blackish-grey, lower surface puberulous, glabrescent, disc-like glands few, venation prominent on both sides, lateral nerves 5-7 on either half, petioles 6-8 mm long, reniform, tomentose, stipules 3.0-4.0 Ã— 1.0-1.5 mm, ovate, caducous. Inflorescence axillary. Staminate inflorescence 2-5 together, 6-14 mm long, sparsely puberulous, peduncles c 0.5 mm long, bracts inconspicuous, glomerules mostly indistinct. Staminate flowers 0.4-0.6 mm long, sessile, red to purple, sepals 4, obovate, c 0.4 mm long, puberulous, stamens 2, slightly exserted, 0.4-0.6 mm long, anthers c 0.2 mm long, pistillode absent. Pistillate inflorescence 1-3 together, 2-5 mm long, puberulous, bracts triangular, c 0.5 mm long. Pistillate flowers 1.5-2.5 mm long, sessile to subsessile, sepals 4, ovate, 0.4-0.7 mm long, ovary 2-celled, puberulous, stigma 1.5-2.5 mm long, bifid to near base. Fruits ovoid, slightly beaked, 9-12 Ã— 5-7 mm, green tinged red to yellow to brown, drying dark brown to black, sparsely hairy, not fleshy. Seeds 6.0-7.5 Ã— 4.5-4.0 mm, covered with a thin, fleshy, juicy aril.","April-September.","Disturbed or primary evergreen forests,  and shale","Sylhet",""
"283","110","Hook.f.","","","A large tree. Stem glabrous, branches rather stout. Leaves 10-20 Ã— 3-6 cm, oblong-lanceolate or linear-lanceolate, obtusely acuminate, base acute or rounded, rather coriaceous, pale green and rather shining when dry, nerves 5-7 pairs, very slender. Flowers in spikes, often clustered, petioles 1-2 mm long. Male flowers bracteate, bracts tomentose, spikes rather stout, sepals 4, c 2.5 cm long, tomentose, stamens 2. Female flowers sessile, ovary fusiform, glabrous, slender, narrowed at both ends, style rather slender. Fruits ellipsoid, beaked by the base of the rather long plumose, 2-partite stigmas, sessile, pericarp thick, cells very hairy within.","February-June","Evergreen forests.","Sylhet",""
"284","144","Airy Shaw","","","A shrub or small tree, up to 9 m tall, branches candelabriform, branchlets subglabrous, indumentum of simple hairs. Leaves elliptic, ovate or obovate, 7.5-20.0 Ã— 3.0-7.8 cm, attenuate to cuneate at the base, lower surface without disc-like glands, lateral nerves 6-8 on either half, papery, petioles 1.0-4.5 cm long, stipules 4.0-6.5 Ã— 1.5-3.0 mm. Male inflorescence cauliflorous to axillary, single, up to 15 cm long, bracts 0.3-1.6 mm long, bracteoles minute. Flowers red. Male flowers: pedicels 1.4-2.6 mm long, sepals 4 or 5, obovate, 0.5-3.0 Ã— 0.5-1.2 mm, stamens 5-7, 0.5-0.9 mm long, filaments 0.4-0.9 mm long, anthers 0.2-0.3 Ã— 0.1-0.2 mm. Female inflorescence cauliflorous to ramiflorous, clustered together, up to 36 cm long. Female flowers: pedicels 1.5-5.0 mm long, sepals 5, elliptic to obovate, 4-9 Ã— 1-2 mm, ovary 3-celled, 6-winged, style c 1 mm long, stigma c 1.5 mm long, cleft. Fruit a berry, fusiform, 17-21 Ã— 7.5-11.0 mm, rugose between narrow wings.","May-August","Evergreen and swamp forests.","Rangamati.",""
"285","145","Lour.","Pierardia sapida Roxb., Baccaurea sapida (Roxb.) M","The Burmese Grape","A medium-sized tree, young shoots hairy, bark grey with vertical lenticels. Leaves 
Baccaurea ramiflora Lour.
alternate, 12-23 Ã— 6-10 cm, membranous, ovate, obovate, elliptic-oblong or elliptic-lanceolate, shortly acuminate, base cuneate, margin entire or sinuate, almost glabrous, lateral veins 5-10 on either half, base narrowed, petioles 1.5-4.0 cm long, geniculate, thickened at both ends, stipules lanceolate, c 8 mm long. Male racemes 3-10 cm long, subsessile, solitary or grouped, brownish pubescent, bracts ovate, 2-4 mm long, pedicels 1 mm long, sepals 4, ovate, c 2.0 Ã— 1.5 mm, stamens 4-8, free, anthers small, pistillode 3-lobed, pubescent. Female flowers yellow, in simple racemes up to 15 cm long, elongating in fruits, sepals yellow tomentose, oblong, 5-7 mm long, bracts 3-5 mm long, pedicels 2 mm long, ovary tomentose, with 2 ovules in each cell, stigma peltate, fimbriate. Fruits globose, yellow. Seeds planoconvex with white aril and red testa.","June-September","Cultivated in gardens and homesteads.","Throughout the country.","Fruits are edible, it is also used for dyeing clot"
"286","188","Blume","Stylodiscus trifoliatus (Roxb.) Benn & R. Br., Bis","Javanese Bishop Wood","A large deciduous tree, with tall cylindric trunk and often of great girth with a spreading crown, bark dark brown outside, reddish inside, exuding reddish gum in thin parallel lines. Leaves alternate, trifoliolate, leaflets 7.5-15.0 cm long, elliptic or ovate-oblong, acuminate, usually crenate, glabrous, lateral nerves 6-8 on either half, slender, terminal leaflets much longer, petioles 7.5-20.0 cm long. Flowers greenish, dioecious. Male flowers: shortly pedicellate, corolla segments 5, obtuse, concave, concealing the anthers, stamens 5, anthers globular, pistillode present in the form of a flat disc. Female flowers: pedicellate, sepals ovate, caducous, styles linear, entire, ovary 3-4 celled, ovules 2 in each cell. Fruit a globose baccate, fleshy, exuding a gummy juice when squeezed, brown when fully ripe, supported by a thickened pedicel. Seeds smooth, shining.","March-July","Mixed evergreen forests and along the forest margi","Bandarban, Khagrachari and Rangamati.","The juice of the leaves is considered as a cure fo"
"287","205","(Dennst.) Alston","Phyllanthus retusus Dennst., Breynia patens (Roxb.","","A shrub or small tree, much-branched, branches arching outwards, branchlets slender, angular, spreading, almost horizontal, smooth, grey. Leaves distichous, 1.3-2.8 Ã— 0.8-1.6 cm, broadly elliptic, membranous, obtuse, light green above, drying brown, paler beneath, main nerves 3-5 pairs, petioles c 1.6 mm long, glabrous. Male flowers: pedicellate, 1 to few in proximal leaf axils, pedicels 4-8 mm long, capillary, pedunculous, glabrous, calyx 4-5 Ã— 2.7-4.0 mm, pale yellow, conical-campanulate, faintly 6-lobed, with alternate lobes smaller, thickened rim of tube crenate, staminal column produced slightly beyond anthers, equalling calyx rim. Female flowers: greenish, solitary in distal axils, pedicels 3-4 mm long, shorter than in the male, pedulous at first, becoming erect until fruit  borne on upper side of branchlets, calyx campanulate with outer smaller, free portion of lobes forming bell with flaring rim, with deeply divided into 6 rounded apiculate segments, ovary inverted-conical, appressed, truncate, styles 3, united shout, 2-fid, free portion spreading, somewhat rotately bifid, about halfway, tip recurved horizontally. Fruit a capsule, depressed-globose, 13-17 mm in diameter, faintly 3-lobed, orange-red, fleshy but dehiscent, seated on the greatly enlarged coloured calyx. Seeds 3, c 6 mm long, persistent on columella, blue-grey with an orange-yellow aril.","Throughout the year","Scrub lands in rocky hill slopes, roadsides or cle","Chittagong and Sylhet.","The plant is astringent. It is used for treatment "
"288","207","Hook.f.","","","A small tree, with whitish bark and pubescent branchlets. Leaves alternate, 7-35 Ã— 4-9 cm, elliptic, lanceolate or elliptic-oblong, acuminates, or rounded, entire or undulate, glabrous above, puberulous on the nerves beneath, lateral veins 10-20 on either half, somewhat arched, base acute, petioles up to 2.5 cm long, stipules subulate. Flowers sessile, monoecious, in minute axillary clusters, bracts minute, pubescent. Calyx lobes ovate-lanceolate. Petals rounded, crenate in males, elliptic, entire in females, disk truncate. Ovary enclosed by disk, styles 2, bifid. Fruit a drupe, ovoid, c 2.5 cm long, glabrous on persistent calyx. Seeds plano-convex.","June-September","Evergreen and mixed forests.","Sylhet",""
"289","1453","(L.) A. Juss.","Clutia retusa L., Bridelia spinosa Willd., Brideli","","A small or moderate-sized deciduous tree, spinous when young, bark grey, young twigs fulvous-tomentose, later glabrescent. Leaves 7.5-15 Ã— 3.8-6.3 cm, rigidly coriaceous, elliptic-oblong, obtuse, subacute or rounded at the apex, usually rounded at the base, entire or slightly crenulate, bright green, glabrous above, glaucous and usually finely tomentose beneath, main nerves prominent, straight, 15-25 pairs with finely reticulate venation between, petioles 8-12 mm long, stipules ovate-lanceolate, usually oblique at the base, deciduous. Flowers arranged in axillary fascicles, on leafless terminal and supra-axillary spikes, the fascicles either unisexual or bisexual, axes densely puberulous, pedicellate, bracts small, acute. Male flowers: pedicels c 2 mm long, slender, glabrous, sepals triangular, c 1.5 mm long, glabrous, petals flabelliform, 1 mm long, disk of male flowers thick and pulpy, staminal column 1 mm long, pistillode bifid, c 0.5 mm long. Female flowers: pedicels c 1.5 mm long, stout, pubescent, sepals triangular, lanceolate, c 2 mm long, sparingly pubescent outside the base, otherwise glabrous, petals oblanceolate, 1.5 mm long, outer disk annular, undulate, toothed, enclosing the ovary, ovary subglobose, c 1 mm across, glabrous, styles 2, bifid, c 1 mm long. Fruit a drupe, 7-9 mm across, fleshy, black, pyrenes 2, furrowed. Seed solitary, cotyledons retuse.","May-January","Second storey of primary forests.","Throughout the country.","The plant is pungent, bitter, heating, useful in l"
"290","212","Blume","Bridelia monoica (Lour.) Merr., Bridelia lanceifol","Pop-gun Seed","A large shrub or small tree, up to 10 m tall, young shoots finely tomentose, with few rounded lenticels. Stem with smooth white bark and drooping branches. Leaves alternate, c 2.5-5.0 Ã— 1.5-2.2 cm on vegetative shoots, elliptic-lanceolate or linear-lanceolate, acute or shortly acuminate at the apex, cuneate at the base, lateral veins membranous, with 7-12 pairs, slender, rusty-tomentose, glabrous above, glaucous beneath, petioles 2-5 mm long, stipules lanceolate, 3 mm long, caducous. Flowers unisexual in axillary clusters, minute, on very short pedicels. Calyx lobes 0.8-1.0 mm long, glabrous, white. Ovary 2-celled, glabrous, styles free or shortly united, stigmas forked. Fruit a drupe, globose, 2-seeded, 4-5 mm across, bluish-black when ripe. Seed solitary in each pyrene.","September-January","Deciduous or scrub forests.","Sylhet and Chittagong.","A decoction of stem bark is used as an antidote to"
